latitude, longitude, checkins, id
55.5767978456, 37.3409817437, 7, 4f0beb5be4b020a8d9255b45
55.597603, 37.367462, 0, 4f5d919ae4b07fef027383fb
55.6006567339, 37.3523139954, 1945, 4d86d2008de9721ebf6a6251
55.5901429962, 37.3718411615, 2290, 4c4f0fd7f53d0f4760a38ea7
55.584635089, 37.3584956624, 43, 4f9529fae4b0f888de5b6dba
55.5848800104, 37.3606515875, 114, 4e48bb4162845e1d3cafdd0d
55.569429347, 37.4434112074, 3, 4f983a35e4b0367fa35380f8
55.580685, 37.353974, 2, 4f584a3be4b003e66841ae0e
55.5783418326, 37.351664932, 2, 4eff69a5775bec6b43aa229c
55.580462695, 37.3609832695, 13, 4fbfb743e4b08585ff90d4b3
55.580462695, 37.3609832695, 28, 4e6bda3b2271d308c7b370b6
55.584696, 37.35766, 3, 4fae6c64e4b0c546fa7e1741
55.580462695, 37.3609832695, 34, 4d98c208b188721e74a42f37
55.580462695, 37.3609832695, 0, 4f195324e4b08fa23f8a888e
55.5781666339, 37.3583958623, 4, 4fbe8f59e4b02d6f8ecd04ba
55.585345964, 37.3614732368, 24, 4dc53ab6c65b89d3ca67ff73
55.5790042119, 37.3615247011, 256, 4dfc8c90c65b31579b2e92af
55.580462695, 37.3609832695, 6, 4f00dc9861af974bcef796a0
55.5854755595, 37.3619422534, 9, 4e86f951e5fa86b7cb982cff
55.580462695, 37.3609832695, 0, 4fcc7854be77c84b2c5ae7b1
55.578754425, 37.3607826233, 0, 4ebdd4229911a2ec5b19e9a2
55.5791896822, 37.3613868241, 5, 4e0b5696d164e3547c2fea81
55.5709291987, 37.3565972198, 360, 4beefc600e0120a174265031
55.5723366394, 37.3561253444, 31, 4fa632f2e4b0d90526366626
55.5966702429, 37.3423888582, 1303, 4dd42be552b18e28aa0ee835
55.5761260986, 37.3539047241, 1, 4f9d808ee4b033ffd4bdfc8c
55.5730725906, 37.3553074181, 2, 4ef73eac61af4546fe2c240b
55.572134345, 37.352437755, 6, 4f784018e4b0c7b6e2a08525
55.57202, 37.356143, 5, 4f814f34e4b0a6d0b6ee6517
55.5718981345, 37.3559410716, 1, 4ef744fdf9ab2e6681e0d374
55.5719861218, 37.3562981034, 1, 4ef6cd2a0e61a0846d00ea6f
55.5695637165, 37.3532227142, 4, 4f3a29a8e4b059425a47cfa5
55.56994, 37.349056, 1, 4e2acbace4cd3bc1668d94f7
55.5694176, 37.3515398, 1, 4e4b6fef1f6e2a789a879cab
55.6047730406, 37.3351408422, 1233, 4cc1686e43646dcb7e17458c
55.5525494773, 37.366605268, 1, 4fc9d3f7e4b0703e280ff4c2
55.5525494773, 37.366605268, 1, 4fc9d532e4b063c029361e8d
55.5525494773, 37.366605268, 1, 4fc1cb18e4b0bccbf634693b
