latitude, longitude, checkins, id, name
55.9491061463, 37.8941573843, 3, 4eb5a2cfe5fa17fc86de69b1, Parfenov's Place
55.9269250622, 37.8831485625, 41, 4ee720b4b634710b8d66244b, Дом 43
55.945734, 37.868534, 34, 4f4f8008e4b05017c920990c, Первомайский Район
55.9269250622, 37.8831485625, 14, 4f9cf64ce4b0a3d1dcb9140c, Дача
55.9265559477, 37.8742407153, 27, 4ee2542c469093b958d2d275, Баня У Димона
55.925862888, 37.8769390069, 9, 4fc664f1e4b066a46756810c, Конспиративная квартира Типографа
55.9473190308, 37.8758049011, 1, 4fbbcbf6e4b0c852de7978da, Душик
55.9465972361, 37.8687170768, 46, 4e78bc131f6ecf8d36afd04e, Молодежный Центр
55.926338427, 37.8837565714, 7, 4f17caeae4b07e1b48901e97, Дачка
55.9261629917, 37.8739144465, 5, 4f807f60e4b0d7651bf10b2a, клиника "Здоровье"
55.9428705516, 37.8666391982, 32, 4f61f54be4b07f728fddeb68, Первомайка
55.9269250622, 37.8831485625, 2, 4eb66f2a2c5b53141ac00ae8, Sister's Place
55.9455528259, 37.8683624268, 1, 4f4921a2e4b03377e7dee2b0, круглосутка-палатка
55.9502112132, 37.8685084331, 40, 4f7b47afe4b07aaa5d3a5bc1, Eddie's Place
55.9459368223, 37.862798248, 112, 4f74a6e4e4b0f06c04ba73a1, Billy's home
55.94795, 37.869421, 3, 4f7e8841e4b079381b547085, МОУ ПСОШ #2
55.947961, 37.869505, 1, 4f7e935ce4b06aeda2c833dc, Столовая МОУ ПСОШ #2
55.947955, 37.869431, 1, 4f7e9252e4b077c180726bf0, Столовая МОУ ПСОШ #2
55.947955, 37.869431, 0, 4f7e9253e4b0f67485077c76, Столовая МОУ ПСОШ #2
55.9468473564, 37.8641770594, 7, 4f4e7862e4b05dbcec89aec6, Home ( Berloga )
55.9468473564, 37.8641770594, 62, 4cb060411463a14389229ca9, ул.Советская
55.9468473564, 37.8641770594, 2, 4e9b43ac29c27d6ad6ebe838, Nincho-home
55.9430648132, 37.8682642331, 16, 4f19b7d8e4b0918828d09943, Ресторан "Каспий"
55.9269250622, 37.8831485625, 3, 4ebe977f9911a2ec5b6d0295, Alex's Sweet Home
55.9227027893, 37.8788757324, 1, 4fa4539ee4b0e4baa1dc52f1, Спартаковская 15
55.9226913452, 37.8788757324, 1, 4fb6707ae4b037516fe6b582, Дом музей М. Цветаевой
55.9409597011, 37.8804944148, 72, 4f859e03e4b04578ffaf5bd7, Дом Гоши
55.942318, 37.8685, 1, 4fc1ea97e4b0e700fbee6bb0, Плешка
55.9441518612, 37.8682066803, 5, 4e92cd59d3e30d4e8ce80a95, PU Techno
55.9455712938, 37.8681232805, 10, 4e96f86b8b811f0c666e6f25, Первомайский п.
55.941368, 37.867356, 1, 4f96cbe8e4b0dc75e58eecf3, Сбербанк
