latitude, longitude,timestamp, id
55.747,37.54617,1338887553, 206926258139923256_19747143
55.764167785,37.574001312,1338887497, 206925781717812937_18067624
55.752025604,37.565876007,1338887443, 206925335066691544_18772928
55.795756823,37.540787458,1338887515, 206925937049072788_5292044
55.77817,37.6535,1338887563, 206926334503186314_26808866
55.79410425,37.699692249,1338887425, 206925156755747884_33440300
55.769332885,37.665832519,1338887403, 206924992527463698_44449092
55.790663427,37.588408415,1338887554, 206926262890109652_27564325
55.79063034,37.606800079,1338887496, 206925783381013477_177404827
55.770874023,37.644771575,1338887486, 206925689608917733_32590691
55.781517028,37.592555999,1338887471, 206925565029426416_14825424
55.699554443,37.61585617,1338887565, 206926358692057730_104890083
55.726097106,37.630439758,1338887547, 206926205575133054_176735412
55.734157562,37.588649749,1338887474, 206925593000026704_1463335
55.728935241,37.645622253,1338887457, 206925447926158243_4472083
55.729717995,37.602184383,1338887438, 206925293036805712_11775038
55.729831695,37.626998901,1338887357, 206924611609894859_43584806
55.722000122,37.647666931,1338887342, 206924483329572221_38818118
55.737133978,37.608900763,1338887527, 206926038067371151_23524662
55.756000518,37.588500976,1338887525, 206926020254831030_6101219
55.75731985,37.613137712,1338887503, 206925839689052285_27420251
55.740715026,37.608730316,1338887489, 206925721120027625_178274107
55.734157562,37.588649749,1338887474, 206925593000026704_1463335
55.764682769,37.603816986,1338887467, 206925528886203016_5488635
55.76019463,37.61430885,1338887464, 206925507190719729_26801152
55.757896423,37.612747192,1338887445, 206925348109862704_48696840
55.762142181,37.620281219,1338887442, 206925322900703941_6790481
55.754501342,37.611000061,1338887431, 206925230627236611_3361673
55.764682769,37.603816986,1338887426, 206925186270286470_5488635
55.760808689,37.615513802,1338887388, 206924871896409791_6676288
55.764957427,37.603866577,1338887364, 206924666898010757_5488635
55.75389862,37.622470855,1338887342, 206924461600301161_14220407
55.704793931,37.575309684,1338887315, 206924254192886885_176876304
55.72752,37.56076,1338887278, 206923951474896513_24387970
55.72864,37.5704,1338887219, 206923452265835367_17180041
55.72645,37.57899,1338887220, 206923450298961337_19384386
55.72133255,37.530834197,1338887217, 206923433781728468_4404324
55.729067574,37.577726841,1338887148, 206922859252782477_16277788
55.7168,37.5509,1338887112, 206922554642866472_17165071
55.72864,37.5704,1338887056, 206922088739548004_17180041
55.772003173,37.579719543,1338887322, 206924313963243390_15342792
55.7953023,37.54327,1338887212, 206923393327783343_47445342
55.800807952,37.529598236,1338887066, 206922166110213426_9912516
55.725185394,37.680404663,1338887122, 206922636928808279_3217108
55.724666595,37.650665283,1338887116, 206922590445937315_29325551
55.744397843,37.567019463,1338887286, 206924015823807523_16637872
55.765960693,37.532920837,1338887283, 206923979028728829_28160289
55.753105163,37.5754776,1338887262, 206923812189067586_721621
55.753128051,37.544544219,1338887242, 206923644141292593_8877802
55.753124237,37.544528961,1338887177, 206923103982046255_8877802
55.740501403,37.526165008,1338887166, 206923005728393367_6989865
55.744120016,37.567323823,1338887091, 206922369544429622_24559551
55.780426,37.66618,1338887320, 206924295909544836_24531411
55.79563,37.70525,1338887308, 206924191019733530_32057723
55.794826507,37.592784881,1338887337, 206924450385501561_178121158
55.769832611,37.632331848,1338887238, 206923611750147291_7675136
55.78948,37.63231,1338887236, 206923597204717000_18425542
